wordId,articleId,exampleThai,exampleChinese
23,4,เจนนี่ ศิลปินสาวที่กล้าแสดงออกและท้าทายความคาดหวังในสังคม ด้วยการถ่ายแบบเปลือยท่อนบนในนิตยสาร,Jenny，一位敢於表達自己、挑戰社會期望的年輕藝術家。在雜誌上裸照
24,4,เจนนี่ ศิลปินสาวที่กล้าแสดงออกและท้าทายความคาดหวังในสังคม ด้วยการถ่ายแบบเปลือยท่อนบนในนิตยสาร,Jenny，一位敢於表達自己、挑戰社會期望的年輕藝術家。在雜誌上裸照
25,4,เจนนี่ ศิลปินสาวที่กล้าแสดงออกและท้าทายความคาดหวังในสังคม ด้วยการถ่ายแบบเปลือยท่อนบนในนิตยสาร,Jenny，一位敢於表達自己、挑戰社會期望的年輕藝術家。在雜誌上裸照
26,4,ศิลปินสาวที่กล้าแสดงออกและท้าทายความคาดหวังในสังคม ด้วยการถ่ายแบบเปลือยท่อนบนในนิตยสาร HOMMEGIRLS,一位敢於表達自我、挑戰社會期望的年輕女藝術家。在《HOMMEGIRLS》雜誌上裸體。
27,4,CHANEL ที่เธอเป็นแบรนด์แอมบาสเดอร์ ถึงแม้จะมีเสียงวิจารณ์เกี่ยวกับภาพลักษณ์ของผู้หญิงเอเชีย,她擔任CHANEL品牌大使 雖然亞洲女性形像一直飽受批評，
28,4,ถึงแม้จะมีเสียงวิจารณ์เกี่ยวกับภาพลักษณ์ของผู้หญิงเอเชีย แต่เธอยังคงมั่นใจในการแสดงออกของตัวเองอย่างไม่หวั่นไหว,儘管亞洲女性形像一直受到批評，但她對自己的表達仍有著堅定不移的自信。
29,4,ที่เธอเป็นแบรนด์แอมบาสเดอร์ ถึงแม้จะมีเสียงวิจารณ์เกี่ยวกับภาพลักษณ์ของผู้หญิงเอเชีย แต่เธอยังคงมั่นใจในการแสดงออกของตัวเองอย่างไม่หวั่นไหว,說她是品牌大使 雖然亞洲女性形像一直飽受批評，但她對自己的表達依然有著堅定不移的自信。
30,4,ที่เธอเป็นแบรนด์แอมบาสเดอร์ ถึงแม้จะมีเสียงวิจารณ์เกี่ยวกับภาพลักษณ์ของผู้หญิงเอเชีย แต่เธอยังคงมั่นใจในการแสดงออกของตัวเองอย่างไม่หวั่นไหว,說她是品牌大使 雖然亞洲女性形像一直飽受批評，但她對自己的表達依然有著堅定不移的自信。
31,5,,
32,5,,
33,5,ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’,這不僅僅是一部喜劇，而是一部生活電影，邀請每個人理解「所有性別」的人並對他們持開放的態度。
34,5,ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่,一個同性戀鬼魂，希望在活著的時候得到愛和接受。
35,5,ชายแท้ที่ต้องเรียนรู้และเปิดใจต่อความหลากหลายทางเพศ การที่คนเราจะอยู่ร่วมกันนั้นง่ายมาก,真正的男人必須學習性的多樣性並敞開心扉。人們住在一起是很容易的。
36,5,และพร้อมที่จะ ‘รับฟัง’ กัน,並準備好互相“傾聽”
37,5,ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’,這不僅僅是一部喜劇，而是一部生活電影，邀請每個人理解「所有性別」的人並對他們持開放的態度。
38,5,ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่,一個同性戀鬼魂，希望在活著的時候得到愛和接受。
39,6,ฉันจะไปหาเธอ คนที่สองจากไหน,我要去哪裡找你，第二個？
40,6,มันไม่มี (เธอมีคนเดียวบนโลก) ถามว่ามีใครสักคน,沒有一個。 （世界上只有你一個人。） 問有沒有人。
